name_en,amenity,lat,long
Al-Shmilyab Health Center,hospital,35.47744690295462,14.056837510032375
Al-Kalakla Sanqat Health Center,clinic,32.498941508335605,15.457693017224782
Mansoura Health Center,clinic,32.456469895208926,15.615831137433522
Al Rayyan Health Centre,clinic,32.4352634006158,15.628332048703232
Qatar Al Nada Hospital,hospital,32.41964001525469,15.663631524166018
Al Thawra Health Center Al Hara 17,clinic,32.48899631424534,15.712684286316428
Umbada Health Center Al Hara 29,clinic,32.45927252458697,15.69657545847871
Karary Al-Ajeeha Health Center,hospital,32.52420626932162,15.749144880135269
Al-Hara Clinic 48,hospital,32.478071071697016,15.737032014156707
Ahl Al-Hadra Private Hospital,hospital,32.530094001377705,15.600926450352132
Balsam dispensary,hospital,32.533208535421586,15.599458765585087
Saba Medical Complex,hospital,32.53246189082579,15.599795222462081
Hope Tower,hospital,32.531237891406114,15.59907927174682
healthcare centre,clinic,33.09002809663783,15.014603076639844
Al Semen Clinic for Medicine and Dental Surgery,hospital,32.56917762041673,15.584384929610332
Elmielg specialist regional hospital,hospital,33.0980145103069,15.013515621743844
Makkah Eye Hospital,hospital,32.56650292146012,15.577113084628381
Nobatia Clinics;Nobatia Medical Complex,hospital,32.48271237934005,15.47975833992689
NA,hospital,33.976538854877894,17.681241771923276
Sennar Hospital,hospital,33.61418088380463,13.547828575052133
Abouda Hospital,hospital,32.48044877914714,15.696133940998761
AlShahyda Nada,hospital,32.62398198980132,15.653962978660525
Al Moallem Health Centre,hospital,32.5285433712486,15.582983754897624
Sameer Health Centre,hospital,32.539192502139926,15.549725767251157
NA,hospital,32.53692125078652,15.56322958410907
Um Dawan Ban Hospital,hospital,32.836549274127265,15.422536143446123
Khartoum Breast Care center,hospital,32.55213208297655,15.560254979900897
NA,hospital,25.551128619705715,14.132654031039207
NA,hospital,33.47668868383482,14.729958233463813
Mahira Hospital,hospital,32.569304600942026,15.582633999234885
Jerash Specialized Hospital,hospital,32.57742792818177,15.572614879890066
Omdurman Children's Hospital,hospital,32.48863745278037,15.641518178150353
Umm Badoba Health Centre,hospital,32.5146851276696,15.856431930166256
